Study ID	Reported Trait	Trait	Citation	P-Value Annotation	Beta Annotation	Score Type	Units (if applicable)	Used Super Population	SNPs Excluded Due To Cutoffs	SNP Overlap	Included SNPs	Polygenic Risk Score	Percentile
GCST000794	Refractive Error	Abnormality Of Refraction	Hysi et al. 2010	NA	NA	beta	diopter	EUR	0	1	1	-0.075	26-76
GCST000795	Refractive Error	Abnormality Of Refraction	Solouki et al. 2010	NA	NA	beta	diopter	EUR	0	1	1	0.115	26-76
GCST001858	Refractive Error	Abnormality Of Refraction	Verhoeven et al. 2013	NA	NA	beta	unit	EUR	0	16	26	-0.022692989069222107	2
GCST90025934	Idiopathic Achalasia	Achalasia	Li et al. 2021	NA	NA	OR	NA	EUR	0	1	2	1.6389257286792116	93-98
GCST90025935	Idiopathic Achalasia	Achalasia	Li et al. 2021	NA	NA	OR	NA	EUR	0	1	2	1.446896101195559	90-97
GCST012501	Achilles Tendon Injury	Achilles Tendon Injury	Kim et al. 2021	NA	NA	OR	NA	EUR	0	3	5	0.9927246305539096	2-8
GCST002329	Acne (Severe)	Acne	He et al. 2014	(fixed effect model)	NA	OR	NA	EUR	0	3	3	1.064104954651841	45-62
GCST002481	Acne (Severe)	Acne	Navarini et al. 2014	NA	NA	OR	NA	EUR	0	8	14	1.061001473777366	92
GCST007234	Acne (Severe)	Acne	Petridis et al. 2018	NA	NA	OR	NA	EUR	0	13	19	1.1059302642739568	30
GCST009526	Disability (Impaired Activities Of Daily Living)	Activities Of Daily Living Score Measurement	Kulminski et al. 2019	NA	NA	beta	unit	EUR	0	2	4	0.0317937394668567	70-76
GCST90025852	Disability Level (Impaired Activities Of Daily Living)	Activities Of Daily Living Score Measurement	Wang et al. 2021	NA	NA	beta	unit	EUR	0	7	12	-0.07293828866804539	51
GCST002406	Plasma Cystastin C Levels In Acute Coronary Syndrome	Acute Coronary Syndrome	Akerblom et al. 2014	NA	NA	beta	mg/L	EUR	0	1	1	-0.0281	5-37
GCST004575	Acute Insulin Response	Acute Insulin Response Measurement	Wood et al. 2017	(adjusted for bmi)	NA	beta	unit	EUR	0	1	1	-0.0495	11-53
GCST006677	Acute Insulin Response (Insulin Secretion Adjusted)	Acute Insulin Response Measurement	Wood et al. 2017	NA	NA	beta	unit	EUR	0	1	1	-0.063	48-90
GCST007727	Acute Lymphoblastic Leukemia (Childhood)	Acute Lymphoblastic Leukemia	Archer et al. 2017	NA	NA	OR	NA	EUR	0	1	1	1.5198684153570663	0-43
GCST002657	Acute Lymphoblastic Leukemia (Childhood)	Acute Lymphoblastic Leukemia	Evans et al. 2014	NA	NA	OR	NA	EUR	0	1	2	1.2192105719265875	45-62
GCST000464	Acute Lymphoblastic Leukemia (Childhood)	Acute Lymphoblastic Leukemia	Treviño et al. 2009	NA	NA	OR	NA	EUR	0	8	14	1.1254063653245914	77
GCST001912	Acute Lymphoblastic Leukemia (Childhood)	Acute Lymphoblastic Leukemia	Xu et al. 2013	NA	NA	OR	NA	EUR	0	2	3	1.1603832932193976	47-52
GCST012418	Acute Respiratory Distress Syndrome	Acute Respiratory Distress Syndrome	Du et al. 2021	(african american)	NA	OR	NA	EUR	0	1	1	NF	NA
GCST012418	Acute Respiratory Distress Syndrome	Acute Respiratory Distress Syndrome	Du et al. 2021	(ea)	NA	OR	NA	EUR	0	1	1	1.161895003862225	29
GCST012418	Acute Respiratory Distress Syndrome	Acute Respiratory Distress Syndrome	Du et al. 2021	NA	NA	OR	NA	EUR	0	1	1	1.1224972160321824	29
GCST010680	Acute Respiratory Distress Syndrome In Sepsis	Acute Respiratory Distress Syndrome	Guillen-Guio et al. 2020	NA	NA	OR	NA	EUR	0	1	2	1.412815236204215	23-64
GCST004165	Acute-On-Chronic Liver Failure In Hepatitis B	Acute-On-Chronic Liver Failure	Tan et al. 2017	NA	NA	OR	NA	EUR	0	1	1	1.83	91-100
GCST009698	Metabolite Levels	Acylcarnitine Measurement	Chai et al. 2019	(c18-dc:c20-oh)	NA	beta	unit	EUR	0	1	2	-0.04220705901975879	73-98
GCST009698	Metabolite Levels	Acylcarnitine Measurement	Chai et al. 2019	(c20:4)	NA	beta	NA	EUR	0	1	1	NF	NA
GCST002961	Acylcarnitine Levels	Acylcarnitine Measurement	Draisma et al. 2015	(acetylcarnitine)	NA	beta	unit	EUR	0	2	2	0.012625	64-92
GCST002961	Acylcarnitine Levels	Acylcarnitine Measurement	Draisma et al. 2015	(carnitine)	NA	beta	unit	EUR	0	2	3	0.01959787104898213	74-75
GCST002961	Acylcarnitine Levels	Acylcarnitine Measurement	Draisma et al. 2015	(decanoylcarnitine)	NA	beta	unit	EUR	0	1	2	0.07238301458008572	35
GCST002961	Acylcarnitine Levels	Acylcarnitine Measurement	Draisma et al. 2015	(nonaylcarnitine)	NA	beta	unit	EUR	0	1	2	-0.02445716624900918	89-95
GCST002961	Acylcarnitine Levels	Acylcarnitine Measurement	Draisma et al. 2015	(octadecadienylcarnitine)	NA	beta	unit	EUR	0	1	1	0.043	6-40
GCST002961	Acylcarnitine Levels	Acylcarnitine Measurement	Draisma et al. 2015	(octadecenoylcarnitine)	NA	beta	unit	EUR	0	1	1	0.02165	50-91
GCST002961	Acylcarnitine Levels	Acylcarnitine Measurement	Draisma et al. 2015	(octanoylcarnitine)	NA	beta	unit	EUR	0	1	2	0.06933890576446353	13-30
GCST002961	Acylcarnitine Levels	Acylcarnitine Measurement	Draisma et al. 2015	(propionylcarnitine)	NA	beta	unit	EUR	0	1	1	0.0979	41-100
GCST000599	Soluble Levels Of Adhesion Molecules	Adhesion Molecule Measurement	Barbalic et al. 2010	(icam)	NA	beta	%	EUR	0	1	2	0.6342020010555651	52
GCST000599	Soluble Levels Of Adhesion Molecules	Adhesion Molecule Measurement	Barbalic et al. 2010	(p-selectin)	NA	beta	%	EUR	0	3	3	7.216666666666666	13
GCST001165	Adiponectin Levels	Adiponectin Measurement	Chung et al. 2011	(second stage)	NA	beta	ug/mL	EUR	0	1	1	0.346	80-100
GCST012167	Adiponectin Levels	Adiponectin Measurement	Coltell et al. 2021	NA	NA	beta	unit	EUR	0	5	9	0.012371054046638835	44
GCST001762	Obesity-Related Traits	Adiponectin Measurement	Comuzzie et al. 2012	(adiponectin )	NA	beta	ng/mL	EUR	0	5	7	0.012265142657873271	97
GCST001463	Adiponectin Levels	Adiponectin Measurement	Dastani et al. 2012	NA	NA	beta	unit	EUR	0	5	10	-0.0022288659312430805	14-16
GCST001465	Adiponectin Levels	Adiponectin Measurement	Dastani et al. 2012	NA	NA	beta	unit	EUR	0	12	21	0.0030460972994667164	47
GCST004289	Adiponectin Levels In Pregnancy	Adiponectin Measurement	Hivert et al. 2017	(adjusted for bmi, height & mean arterial pressure)	NA	beta	unit	EUR	0	1	2	-0.44197379243609386	84
GCST004289	Adiponectin Levels In Pregnancy	Adiponectin Measurement	Hivert et al. 2017	NA	NA	beta	unit	EUR	0	1	1	-0.0895	37-85
GCST000538	Adiponectin Levels	Adiponectin Measurement	Richards et al. 2009	NA	NA	beta	ug/ml	EUR	0	3	3	0.6733333333333333	92-96
GCST010050	Adiponectin Levels	Adiponectin Measurement	Spracklen et al. 2019	NA	NA	beta	unit	EUR	0	10	20	0.0025852378377757045	47
GCST000812	Adiponectin Levels	Adiponectin Measurement	Wu et al. 2010	NA	NA	beta	unit	EUR	0	3	3	-0.034999999999999996	1
GCST002233	Adiponectin Levels	Adiponectin Measurement	Wu et al. 2013	NA	NA	beta	unit	EUR	0	6	9	-0.04939465053827355	25
GCST003052	Adolescent Idiopathic Scoliosis	Adolescent Idiopathic Scoliosis	Ogura et al. 2015	(japanese)	NA	OR	NA	EUR	0	1	1	1.21	39-100
GCST004981	Curve Progression In Adolescent Idiopathic Scoliosis	Adolescent Idiopathic Scoliosis	Ogura et al. 2017	NA	NA	OR	NA	EUR	0	1	1	1.56	9-100
GCST003128	Adolescent Idiopathic Scoliosis	Adolescent Idiopathic Scoliosis	Zhu et al. 2015	NA	NA	OR	NA	EUR	0	2	3	1.1486525484112837	73-79
GCST004288	Adolescent Idiopathic Scoliosis	Adolescent Idiopathic Scoliosis	Zhu et al. 2017	NA	NA	OR	NA	EUR	0	5	8	1.1084949894807117	78
GCST004365	Blood Protein Levels	Adp-Ribosyl Cyclase/Cyclic Adp-Ribose Hydrolase 2 Measurement	Suhre et al. 2017	(adp-ribosyl cyclase/cyclic adp-ribose hydrolase 2)	NA	beta	unit	EUR	0	3	4	-0.2998019066636029	4
GCST004365	Blood Protein Levels	Adp-Ribosyl Cyclase/Cyclic Adp-Ribose Hydrolase 2 Measurement	Suhre et al. 2017	(ea, adp-ribosyl cyclase/cyclic adp-ribose hydrolase 2)	NA	beta	unit	EUR	0	1	2	-0.07797794624227292	2-15
GCST005924	Corticosteroid-Induced Adrenal Suppression (Peak Cortisol < 500 Nmol/L)	Adrenal Suppression Measurement	Hawcutt et al. 2018	NA	NA	OR	NA	EUR	0	1	1	NF	NA
GCST005927	Corticosteroid-Induced Adrenal Suppression (Peak Cortisol < 350 Nmol/L)	Adrenal Suppression Measurement	Hawcutt et al. 2018	NA	NA	OR	NA	EUR	0	1	1	NF	NA
GCST007799	Asthma (Adult Onset)	Adult Onset Asthma	Ferreira et al. 2019	NA	NA	OR	NA	EUR	0	9	12	1.012516469255829	6
GCST007993	Asthma (Adult Onset)	Adult Onset Asthma	Pividori et al. 2019	NA	NA	OR	NA	EUR	0	16	25	1.0365389769281352	2
GCST009028	Adverse Response To Drug	Adverse Effect	Tasa et al. 2018	(ace inhibitors, plain [c09aa])	NA	OR	NA	EUR	0	1	2	1.0128247584373347	69
GCST009028	Adverse Response To Drug	Adverse Effect	Tasa et al. 2018	(angiotensin ii antagonists, plain [c09ca])	NA	OR	NA	EUR	0	1	2	1.2967243603063816	67-82
GCST009028	Adverse Response To Drug	Adverse Effect	Tasa et al. 2018	(beta blocking agents, selective [c07ab])	NA	OR	NA	EUR	0	1	2	1.121191438640138	46-88
GCST009028	Adverse Response To Drug	Adverse Effect	Tasa et al. 2018	(coxibs [m01ah])	NA	OR	NA	EUR	0	1	2	1.3178282574484605	2-17
GCST009028	Adverse Response To Drug	Adverse Effect	Tasa et al. 2018	(first-generation cephalosporins [j01db])	NA	OR	NA	EUR	0	1	2	1.3823084346602648	98-100
GCST009028	Adverse Response To Drug	Adverse Effect	Tasa et al. 2018	(glucocorticoids [h02ab])	NA	OR	NA	EUR	0	1	2	1.1524559833746588	19-62
GCST009028	Adverse Response To Drug	Adverse Effect	Tasa et al. 2018	(other antihistamines for systemic use [r06ax])	NA	OR	NA	EUR	0	1	2	1.2245049971066322	81-82
GCST009028	Adverse Response To Drug	Adverse Effect	Tasa et al. 2018	(other centrally acting agents [m03bx])	NA	OR	NA	EUR	0	1	2	1.5031504780912932	80-92
GCST009028	Adverse Response To Drug	Adverse Effect	Tasa et al. 2018	(sulfonamides, plain [c03ca])	NA	OR	NA	EUR	0	1	1	NF	NA
GCST009555	Age At Adiposity Rebound	Age At Assessment	Couto Alves et al. 2019	NA	NA	beta	unit	EUR	0	2	2	-0.05	42-59
GCST010039	Adverse Response To Inhaled Corticosteroid Treatment X Age Interaction In Asthma	Age At Assessment	Dahlin et al. 2020	NA	NA	OR	NA	EUR	0	7	8	1.3784680159581673	74-75
GCST002495	Blood Pressure (Age Interaction)	Age At Assessment	Simino et al. 2014	(ea, dbp)	per 1 year increase in age	beta	mmHg	EUR	0	1	1	-0.0197	0-7
GCST002495	Blood Pressure (Age Interaction)	Age At Assessment	Simino et al. 2014	(ea, map)	per 1 year increase in age	beta	mmHg	EUR	0	1	1	-0.022	0-7
GCST002495	Blood Pressure (Age Interaction)	Age At Assessment	Simino et al. 2014	(ea, pp)	per 1 year increase in age	beta	mmHg	EUR	0	1	1	0.0116	16-62
GCST000789	Cardiovascular Risk Factors (Age Interaction)	Age At Assessment	Smith et al. 2010	(waist circumference)	NA	beta	unit	EUR	0	2	2	-0.1325	43-67
GCST003795	Age At First Birth	Age At First Birth Measurement	Barban et al. 2016	NA	NA	beta	unit	EUR	0	9	10	0.019493980147689344	89
GCST006044	Age At First Birth	Age At First Birth Measurement	Barban et al. 2016	NA	NA	beta	unit	EUR	0	2	2	0.08499999999999999	18-19
GCST006045	Age At First Birth	Age At First Birth Measurement	Barban et al. 2016	NA	NA	beta	unit	EUR	0	9	10	0.018213264588487137	90
GCST007336	Age At First Birth	Age At First Birth Measurement	Day et al. 2016	(females)	NA	beta	unit	EUR	0	2	2	-0.03225	18-65
GCST007336	Age At First Birth	Age At First Birth Measurement	Day et al. 2016	NA	NA	beta	unit	EUR	0	2	2	-0.0033	18-65
GCST90000050	Age At First Birth	Age At First Birth Measurement	Mills et al. 2021	NA	NA	beta	unit	EUR	0	35	70	-0.001078395810748246	78
GCST007335	Age At First Sexual Intercourse	Age At First Sexual Intercourse Measurement	Day et al. 2016	NA	NA	beta	unit	EUR	0	18	32	0.02326729008385091	98
GCST90000045	Age At First Sexual Intercourse	Age At First Sexual Intercourse Measurement	Mills et al. 2021	NA	NA	beta	unit	EUR	0	1	2	-0.01755506102074073	59-92
GCST90000046	Age At First Sexual Intercourse	Age At First Sexual Intercourse Measurement	Mills et al. 2021	NA	NA	beta	unit	EUR	0	4	8	-0.007930048591899996	28
GCST90000047	Age At First Sexual Intercourse	Age At First Sexual Intercourse Measurement	Mills et al. 2021	NA	NA	beta	unit	EUR	0	136	240	-0.0014978364520895624	26
GCST001973	Menarche (Age At Onset)	Age At Menarche	Demerath et al. 2013	(ea)	NA	beta	unit	EUR	0	2	3	-0.29314443644047444	13-22
GCST000880	Menarche (Age At Onset)	Age At Menarche	Elks et al. 2010	NA	NA	beta	week	EUR	0	30	42	-0.14653916594345476	28
GCST000403	Menarche And Menopause (Age At Onset)	Age At Menarche	He et al. 2009	(age at menarche)	NA	beta	years	EUR	0	2	2	-0.0049999999999999975	54-59
GCST005867	Menarche (Age At Onset)	Age At Menarche	Horikoshi et al. 2018	(japanese)	NA	beta	year	EUR	0	13	26	0.012903862555225572	48
GCST000404	Menarche (Age At Onset)	Age At Menarche	Perry et al. 2009	NA	NA	beta	years	EUR	0	1	2	-0.03532015206941193	0-4
GCST002541	Menarche (Age At Onset)	Age At Menarche	Perry et al. 2014	NA	NA	beta	unit	EUR	0	80	121	0.021724824929362105	70
GCST012492	Menarche (Age At Onset)	Age At Menarche	Sarnowski et al. 2021	NA	NA	beta	unit	EUR	0	3	6	-0.0069216880798975726	96-97
GCST005312	Menopause (Age At Onset)	Age At Menopause	Day et al. 2015	NA	NA	beta	years	EUR	0	29	51	-0.10073617467247288	49
GCST000403	Menarche And Menopause (Age At Onset)	Age At Menopause	He et al. 2009	(age at natural menopause)	NA	beta	years	EUR	0	2	4	0.07593968053523838	58-64
GCST005863	Menopause (Age At Onset)	Age At Menopause	Horikoshi et al. 2018	(japanese)	NA	beta	year	EUR	0	15	27	0.10725821924024613	25
GCST001810	Menopause (Age At Onset)	Age At Menopause	Perry et al. 2013	NA	NA	beta	years	EUR	0	6	8	0.008495646033413417	52
GCST002192	Menopause (Age At Onset)	Age At Menopause	Pyun et al. 2013	NA	NA	beta	unit	EUR	0	1	2	0.07310166336849978	36-81
GCST000401	Menopause (Age At Onset)	Age At Menopause	Stolk et al. 2009	NA	NA	beta	years	EUR	0	2	3	-0.04211363466269527	46-48
GCST001381	Menopause (Age At Onset)	Age At Menopause	Stolk et al. 2012	NA	NA	beta	years	EUR	0	11	19	-0.0027485887299062398	37
GCST90026598	Age At Menopause	Age At Menopause	Zhang et al. 2021	NA	NA	beta	unit	EUR	0	24	46	0.0014215903529639009	97
GCST009513	Parkinson's Disease (Age Of Onset)	Age At Onset	Bandres-Ciga et al. 2019	NA	NA	beta	unit	EUR	0	1	1	0.71685	15-60
GCST007113	Huntington's Disease (Age At Onset)	Age At Onset	Chao et al. 2018	(hispanic)	NA	beta	years	EUR	0	1	1	-1.4	9-50
GCST007797	Asthma Onset (Childhood Vs Adult)	Age At Onset	Ferreira et al. 2019	NA	NA	OR	NA	EUR	0	23	46	1.039106718982518	74-75
GCST000490	Parkinson's Disease (Age Of Onset)	Age At Onset	Latourelle et al. 2009	NA	NA	beta	years	EUR	0	3	5	-0.5834186545591074	31-33
GCST006386	Cannabis Use (Age At Onset)	Age At Onset	Minică et al. 2018	NA	NA	beta	unit	EUR	0	3	3	0.015	78-82
GCST006480	Glioblastoma (Age-Stratified)	Age At Onset	Ostrom et al. 2018	(above median age-at-diagnosis)	NA	OR	NA	EUR	0	4	7	1.1386151455119722	32
GCST006480	Glioblastoma (Age-Stratified)	Age At Onset	Ostrom et al. 2018	(median age-at-diagnosis)	NA	OR	NA	EUR	0	4	7	1.1489065866461903	38
GCST006149	Frontotemporal Dementia With Grn Mutation (Age At Onset)	Age At Onset	Pottier et al. 2018	NA	NA	beta	unit	EUR	0	3	6	0.7327554090572149	86
GCST002618	Age-Related Cataracts (Age At Onset)	Age At Onset	Ritchie et al. 2014	NA	NA	beta	unit	EUR	0	2	3	-0.1226734180138568	5-7
GCST008838	Asthma (Time To Onset)	Age At Onset	Sarnowski et al. 2016	NA	NA	OR	NA	EUR	0	6	10	1.0698306920500598	40
GCST006291	Spherical Equivalent Or Myopia (Age Of Diagnosis)	Age At Onset	Tedja et al. 2018	NA	NA	beta	z score	EUR	0	79	135	-0.2633927799602951	27
GCST002618	Age-Related Cataracts (Age At Onset)	Age-Related Cataract	Ritchie et al. 2014	NA	NA	beta	unit	EUR	0	2	3	-0.1226734180138568	5-7
GCST002619	Age-Related Cataracts	Age-Related Cataract	Ritchie et al. 2014	NA	NA	OR	NA	EUR	0	1	1	NF	NA
GCST009429	Age-Related Hearing Impairment (High Frequency)	Age-Related Hearing Impairment	Nagtegaal et al. 2019	(ea)	NA	beta	unit	EUR	0	3	4	0.005026928498339842	89
GCST009430	Age-Related Hearing Impairment	Age-Related Hearing Impairment	Nagtegaal et al. 2019	(ea)	NA	beta	unit	EUR	0	1	2	0.020164293973860943	50-84
GCST009432	Age-Related Hearing Impairment (Low/Mid Frequency)	Age-Related Hearing Impairment	Nagtegaal et al. 2019	NA	NA	beta	unit	EUR	0	1	1	-0.073	0-67
GCST001232	Age-Related Macular Degeneration	Age-Related Macular Degeneration	Arakawa et al. 2011	NA	NA	OR	NA	EUR	0	2	2	1.0818826142756721	25-65
GCST000652	Age-Related Macular Degeneration	Age-Related Macular Degeneration	Chen et al. 2010	NA	NA	OR	NA	EUR	0	4	7	1.257554626089592	25
GCST001884	Age-Related Macular Degeneration	Age-Related Macular Degeneration	Fritsche et al. 2013	NA	NA	OR	NA	EUR	0	10	19	1.1273206868515218	45
GCST011317	Age-Related Macular Degeneration	Age-Related Macular Degeneration	Guenther et al. 2020	NA	NA	beta	unit	EUR	0	2	3	0.0214355	9-35
GCST90086112	Age-Related Macular Degeneration	Age-Related Macular Degeneration	Guindo-Martínez et al. 2021	NA	NA	OR	NA	EUR	0	2	4	0.9064323731013192	22-27
GCST010284	Age-Related Macular Degeneration (Mtag)	Age-Related Macular Degeneration	Han et al. 2020	NA	NA	OR	NA	EUR	0	3	4	1.4564297350994453	16
GCST000001	Age-Related Macular Degeneration	Age-Related Macular Degeneration	Klein et al. 2005	NA	NA	OR	NA	EUR	0	1	1	4.6	66-100
GCST000653	Age-Related Macular Degeneration	Age-Related Macular Degeneration	Neale et al. 2010	NA	NA	OR	NA	EUR	0	2	4	1.217021576584403	84-92
GCST90018768	Medication Use (Agents Acting On The Renin-Angiotensin System)	Agents Acting On The Renin-Angiotensin System Use Measurement	Sakaue et al. 2021	NA	NA	beta	unit	EUR	0	10	12	0.0058499165625450844	78
GCST90018988	Medication Use (Agents Acting On The Renin-Angiotensin System)	Agents Acting On The Renin-Angiotensin System Use Measurement	Sakaue et al. 2021	NA	NA	beta	unit	EUR	0	100	171	0.0010877519699553759	16
GCST007930	Medication Use (Agents Acting On The Renin-Angiotensin System)	Agents Acting On The Renin-Angiotensin System Use Measurement	Wu et al. 2019	NA	NA	beta	unit	EUR	0	103	184	-0.00179467343893173	14
GCST010466	Verbal Aggression In Schizophrenia	Aggressive Behavior	Bani-Fatemi et al. 2020	NA	NA	OR	NA	EUR	0	2	2	2.2509041837326564	88-97
GCST004303	Aggressive Periodontitis	Aggressive Periodontitis	Munz et al. 2017	NA	NA	OR	NA	EUR	0	4	5	1.1388038022486322	11
GCST009604	Intrinsic Epigenetic Age Acceleration	Aging	Gibson et al. 2019	NA	NA	beta	unit	EUR	0	5	10	0.05033633128781171	59
GCST005287	Intrinsic Epigenetic Age Acceleration	Aging	Lu et al. 2018	NA	NA	beta	unit	EUR	0	3	6	0.05169517407940438	46-47
GCST008748	Epigenetic Age Acceleration In Alcohol Use Disorder	Aging	Luo et al. 2019	NA	NA	beta	unit	EUR	0	4	4	1.48375	63-64
GCST90014288	Dna Methylation Grimage Acceleration	Aging	McCartney et al. 2021	NA	NA	beta	unit	EUR	0	4	4	0.06737499999999999	80-81
GCST90014289	Dna Methylation Hannum Age Acceleration	Aging	McCartney et al. 2021	NA	NA	beta	unit	EUR	0	5	9	0.04796447427447034	89
GCST000487	Aids	Aids	Le Clerc et al. 2009	NA	NA	OR	NA	EUR	0	6	7	1.543167289640177	48
GCST002152	Airway Hyperresponsiveness	Airway Hyperresponsiveness	Himes et al. 2013	NA	NA	beta	unit	EUR	0	1	1	-0.011	31-80
GCST002941	Airway Imaging Phenotypes	Airway Imaging Measurement	Cho et al. 2015	(wap, all)	NA	beta	unit	EUR	0	2	4	0.08892521938753264	36-72
GCST004804	Immunoglobulin Light Chain (Al) Amyloidosis (Serum Ig Light Chain Only Lambda Based Profile)	Al Amyloidosis	Meziane et al. 2017	NA	NA	OR	NA	EUR	0	1	1	1.3038404810405297	20-68
GCST004805	Immunoglobulin Light Chain (Al) Amyloidosis (Heart Involvement)	Al Amyloidosis	Meziane et al. 2017	NA	NA	OR	NA	EUR	0	1	1	1.1789826122551594	20-68
GCST004806	Immunoglobulin Light Chain (Al) Amyloidosis (Heart And Kidney Involvement)	Al Amyloidosis	Meziane et al. 2017	NA	NA	OR	NA	EUR	0	1	1	1.2409673645990857	0-38
GCST004807	Immunoglobulin Light Chain (Al) Amyloidosis (Liver Involvement)	Al Amyloidosis	Meziane et al. 2017	NA	NA	OR	NA	EUR	0	1	1	1.3638181696985856	0-22
GCST004808	Immunoglobulin Light Chain (Al) Amyloidosis (Serum Igg Profile)	Al Amyloidosis	Meziane et al. 2017	NA	NA	OR	NA	EUR	0	1	1	1.2206555615733703	49-51
GCST004809	Immunoglobulin Light Chain (Al) Amyloidosis (Serum Ig Lambda Profile)	Al Amyloidosis	Meziane et al. 2017	NA	NA	OR	NA	EUR	0	2	2	1.2176063995642186	43-58
GCST004811	Immunoglobulin Light Chain (Al) Amyloidosis (Serum Ig Light Chain Only Lambda/Kappa Based Profile)	Al Amyloidosis	Meziane et al. 2017	NA	NA	OR	NA	EUR	0	1	1	1.2727922061357857	20-68
GCST004812	Immunoglobulin Light Chain (Al) Amyloidosis (Kidney Involvement)	Al Amyloidosis	Meziane et al. 2017	NA	NA	OR	NA	EUR	0	1	1	1.1575836902790226	20-68
GCST007385	Plasma Free Amino Acid Levels	Alanine Measurement	Imaizumi et al. 2019	(ala)	NA	beta	NA	EUR	0	1	1	NF	NA
GCST001813	Hematology Traits	Albumin:globulin Ratio Measurement	Hong et al. 2013	(alb/glb)	NA	beta	unit	EUR	0	3	5	0.005674068935228943	67
GCST006586	Urinary Albumin Excretion	Albuminuria	Haas et al. 2018	NA	NA	beta	unit	EUR	0	25	46	0.006275870630153574	54
GCST001769	Alcohol And Nicotine Co-Dependence	Alcohol And Nicotine Codependence	Zuo et al. 2012	(combined, aa replication)	NA	OR	NA	EUR	0	1	1	1.1916375287812986	62
GCST001769	Alcohol And Nicotine Co-Dependence	Alcohol And Nicotine Codependence	Zuo et al. 2012	(combined, australian replication)	NA	OR	NA	EUR	0	1	1	1.0723805294763609	57-94
GCST004887	Alcohol Consumption In Current Drinkers	Alcohol Consumption Measurement	Clarke et al. 2017	NA	NA	beta	unit	EUR	0	4	8	0.003109628792467309	89
GCST008757	Alcohol Consumption	Alcohol Consumption Measurement	Evangelou et al. 2019	NA	NA	beta	unit	EUR	0	30	51	-0.0005909672543775622	36
GCST008675	Maximum Habitual Alcohol Consumption	Alcohol Consumption Measurement	Gelernter et al. 2019	(ea)	NA	beta	unit	EUR	0	2	2	-0.19542500000000002	0-4
GCST004405	Alcohol Consumption (Drinks Per Week)	Alcohol Consumption Measurement	Jorgenson et al. 2017	(ea, adjusted for lean body mass)	NA	beta	drinks per week	EUR	0	2	2	0.0025000000000000005	67-85
GCST004405	Alcohol Consumption (Drinks Per Week)	Alcohol Consumption Measurement	Jorgenson et al. 2017	(hispanic/latino, adjusted for lean body mass)	NA	beta	NA	EUR	0	1	1	NF	NA
GCST004405	Alcohol Consumption (Drinks Per Week)	Alcohol Consumption Measurement	Jorgenson et al. 2017	NA	NA	beta	drinks per week	EUR	0	2	2	0.0	56-87
GCST007328	Alcohol Consumption (Drinks Per Week)	Alcohol Consumption Measurement	Karlsson Linnér et al. 2019	NA	NA	beta	unit	EUR	0	52	85	0.0037311288732813134	70
